2016-01-24 00:22:34,913 : INFO : categ=yelp, ftype=GALC, index=21, rmse=0.1108395085, rho=0.0918934999, pval=0.0000000000, mse=0.0122853967, mae=0.0825220871, pre_logfit=-12.7300888364, base_logfit=-12.3199449083
2016-01-24 00:22:35,945 : INFO : categ=yelp, ftype=ConfAll, index=21, rmse=0.1082186734, rho=0.2224122694, pval=0.0000000000, mse=0.0117112813, mae=0.0809718055, pre_logfit=-12.7103427460, base_logfit=-12.3199449083
2016-01-24 00:23:31,523 : INFO : categ=yelp, ftype=LIWC, index=22, rmse=0.1054244709, rho=0.2202463986, pval=0.0000000000, mse=0.0111143191, mae=0.0795076289, pre_logfit=-12.4726679067, base_logfit=-12.1084418273
2016-01-24 00:25:34,475 : INFO : categ=yelp, ftype=INQUIRER, index=22, rmse=0.1055245141, rho=0.2390322379, pval=0.0000000000, mse=0.0111354231, mae=0.0793421947, pre_logfit=-12.4739580033, base_logfit=-12.1084418273
2016-01-24 00:26:22,836 : INFO : categ=yelp, ftype=GALC, index=22, rmse=0.1084667893, rho=0.0866549133, pval=0.0000000000, mse=0.0117650444, mae=0.0811933608, pre_logfit=-12.4946792897, base_logfit=-12.1084418273
2016-01-24 00:26:23,873 : INFO : categ=yelp, ftype=ConfAll, index=22, rmse=0.1060709975, rho=0.2032240585, pval=0.0000000000, mse=0.0112510565, mae=0.0798001440, pre_logfit=-12.4777885892, base_logfit=-12.1084418273
2016-01-24 00:27:18,367 : INFO : categ=yelp, ftype=LIWC, index=23, rmse=0.1057180826, rho=0.2368749240, pval=0.0000000000, mse=0.0111763130, mae=0.0793696521, pre_logfit=-12.5726011355, base_logfit=-12.1949104361
2016-01-24 00:29:20,913 : INFO : categ=yelp, ftype=INQUIRER, index=23, rmse=0.1058014199, rho=0.2546598590, pval=0.0000000000, mse=0.0111939404, mae=0.0790596952, pre_logfit=-12.5723315915, base_logfit=-12.1949104361
2016-01-24 00:30:09,662 : INFO : categ=yelp, ftype=GALC, index=23, rmse=0.1085040085, rho=0.1126582946, pval=0.0000000000, mse=0.0117731199, mae=0.0811896892, pre_logfit=-12.5931878600, base_logfit=-12.1949104361
2016-01-24 00:30:10,695 : INFO : categ=yelp, ftype=ConfAll, index=23, rmse=0.1061310286, rho=0.2329706090, pval=0.0000000000, mse=0.0112637952, mae=0.0795273622, pre_logfit=-12.5752003237, base_logfit=-12.1949104361
